3,3,73,0,13
10,26,22
10,6,23
3,0,14
6,19,19
5,4,15
27,150,73
33,155,81
21,119,59
36,233,92
25,119,69
11,51,32
3,0,19
12,23,30
12,86,27
7,42,16
32,190,81
28,171,69
45,198,112
39,214,98
3,12,9
34,167,83
17,74,42
16,79,37
13,67,32
7,18,20
24,127,62
12,90,37
44,209,111
36,187,87
49,206,121
26,149,66
30,128,74
17,78,43
24,145,60
32,138,78
15,78,37
33,156,81
20,101,48
7,22,17
3,0,12
24,152,58
1,0,4
9,7,21
23,99,55
13,55,32
18,98,45
18,64,46
41,184,102
2,0,8
23,84,58
9,32,22
1,0,2
18,95,44
6,32,12
3,14,6
4,0,19
17,83,44
13,65,34
4,2,18
11,53,26
5,5,15
11,46,27
5,17,14
11,55,28
17,81,45
9,27,27
2,2,10
1,0,4
4,0,21
14,50,34
17,44,43
4,6,13
20,56,51
46,205,112
41,188,102
31,150,83
41,185,101
33,84,81
36,161,86
21,110,65
13,57,31
25,109,62
45,223,116
26,118,66
24,80,64
42,230,106
19,74,45
25,131,75
29,130,80
19,101,47
1,6,2
19,81,48
32,146,79
29,154,73
16,48,38
30,176,73
41,239,101
38,250,113
77,370,185
111,759,250
23,130,58
4,3,20
372,2109,777
1,0,3
10,37,23
32,69,93
1,4,24
4,5,16
1,0,4
5,13,20
2,0,16
12,39,33
17,83,43
73,449,171
28,53,69
3,0,19
1,0,5
